epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1491.57,0.74623,0.60155,1.02603,0.82912,0.72973,0.80666,0.61327,0.83317,0.83218,1.0486,0.000369054,0.000369054,0.000369054
62,1515.79,0.75758,0.61516,1.04048,0.82641,0.73894,0.82498,0.62215,0.85542,0.73824,1.05016,0.000360055,0.000360055,0.000360055
63,1539.98,0.75441,0.62014,1.0384,0.81978,0.75705,0.81335,0.61642,0.8223,0.77509,1.04242,0.000351056,0.000351056,0.000351056
64,1564.05,0.74537,0.60299,1.02488,0.81839,0.76996,0.808,0.61862,0.82853,0.83145,1.05877,0.000342057,0.000342057,0.000342057
65,1588.08,0.74893,0.60318,1.0279,0.8533,0.70057,0.79435,0.61443,0.82476,0.81351,1.0493,0.000333058,0.000333058,0.000333058
66,1612.19,0.72323,0.58563,1.01103,0.86613,0.71717,0.8155,0.62536,0.82759,0.78729,1.05483,0.000324058,0.000324058,0.000324058
67,1636.38,0.74149,0.5922,1.01689,0.82968,0.74471,0.82118,0.62147,0.851,0.72372,1.07394,0.000315059,0.000315059,0.000315059
68,1660.49,0.72869,0.56856,1.01298,0.86193,0.74535,0.82453,0.63569,0.81757,0.70795,1.03095,0.00030606,0.00030606,0.00030606
69,1684.75,0.72203,0.57006,1.01403,0.81657,0.77075,0.82124,0.63337,0.8272,0.72788,1.03487,0.000297061,0.000297061,0.000297061
70,1708.91,0.71654,0.56606,1.01485,0.8392,0.75357,0.81052,0.62977,0.81446,0.7578,1.0303,0.000288062,0.000288062,0.000288062
71,1732.98,0.72562,0.56882,1.01775,0.81842,0.75624,0.81161,0.63158,0.81138,0.74953,1.03782,0.000279063,0.000279063,0.000279063
72,1757.12,0.69863,0.55206,0.99177,0.85192,0.73017,0.81873,0.63152,0.78938,0.71384,1.03451,0.000270064,0.000270064,0.000270064
73,1781.21,0.7071,0.54556,0.99866,0.82616,0.72432,0.81248,0.62636,0.80608,0.72828,1.05551,0.000261065,0.000261065,0.000261065
74,1805.34,0.6972,0.5428,1.00573,0.7822,0.78339,0.82901,0.63813,0.79466,0.67905,1.03994,0.000252066,0.000252066,0.000252066
75,1829.65,0.69322,0.54054,1.00124,0.86145,0.73961,0.83167,0.63297,0.81023,0.69455,1.05455,0.000243067,0.000243067,0.000243067
76,1853.89,0.6847,0.53866,1.00021,0.84432,0.7261,0.81777,0.61908,0.82123,0.71002,1.04742,0.000234068,0.000234068,0.000234068
77,1878.02,0.67985,0.51758,0.98542,0.86517,0.75855,0.82597,0.63339,0.80482,0.70389,1.04443,0.000225068,0.000225068,0.000225068
78,1902.29,0.66823,0.51433,0.98225,0.80963,0.7988,0.84102,0.64822,0.79945,0.71652,1.01644,0.000216069,0.000216069,0.000216069
79,1926.54,0.67474,0.52111,0.99472,0.85606,0.73627,0.81785,0.6303,0.80225,0.72603,1.04378,0.00020707,0.00020707,0.00020707
80,1950.73,0.6586,0.49321,0.98718,0.82153,0.76395,0.82201,0.6334,0.81424,0.73548,1.04187,0.000198071,0.000198071,0.000198071
81,1974.85,0.65911,0.497,0.97401,0.8467,0.75787,0.82582,0.63777,0.79679,0.71361,1.02249,0.000189072,0.000189072,0.000189072
82,1999.06,0.64947,0.49334,0.97247,0.85006,0.73374,0.82692,0.63802,0.8017,0.68577,1.02405,0.000180073,0.000180073,0.000180073
83,2023.15,0.65115,0.49407,0.98131,0.82361,0.78029,0.83094,0.63908,0.80069,0.68183,1.03454,0.000171074,0.000171074,0.000171074
84,2047.29,0.64525,0.49308,0.977,0.83418,0.7635,0.82766,0.63911,0.79844,0.68987,1.02839,0.000162075,0.000162075,0.000162075
85,2071.38,0.64555,0.47932,0.97538,0.82993,0.76659,0.83596,0.64789,0.78031,0.66723,1.01437,0.000153076,0.000153076,0.000153076
86,2096.07,0.64279,0.48781,0.97701,0.86126,0.77083,0.84245,0.6547,0.79227,0.65761,1.04532,0.000144077,0.000144077,0.000144077
87,2136.41,0.62819,0.46352,0.96892,0.83217,0.78619,0.83829,0.65626,0.78022,0.65881,1.02677,0.000135077,0.000135077,0.000135077
88,2161.2,0.63218,0.47212,0.97083,0.8912,0.74906,0.84439,0.65442,0.77649,0.65474,1.01464,0.000126078,0.000126078,0.000126078
89,2197.67,0.64745,0.47486,0.97687,0.88121,0.75455,0.84488,0.65304,0.78796,0.65383,1.02365,0.000117079,0.000117079,0.000117079
90,2246.48,0.62327,0.46656,0.97147,0.91463,0.71772,0.84419,0.65603,0.78574,0.66693,1.03187,0.00010808,0.00010808,0.00010808
91,2303.99,0.59348,0.4017,0.92565,0.85115,0.75885,0.83233,0.63773,0.79719,0.69622,1.03098,9.9081e-05,9.9081e-05,9.9081e-05
92,2354.41,0.58768,0.39849,0.92467,0.86403,0.77426,0.83839,0.65518,0.77758,0.66989,1.01521,9.00819e-05,9.00819e-05,9.00819e-05
93,2406.98,0.56595,0.3812,0.91135,0.86414,0.7523,0.83611,0.65297,0.76652,0.65759,1.01445,8.10828e-05,8.10828e-05,8.10828e-05
94,2459.2,0.56848,0.37515,0.91202,0.87067,0.7444,0.8365,0.6585,0.76863,0.65101,1.0183,7.20837e-05,7.20837e-05,7.20837e-05
95,2510.22,0.57366,0.38279,0.91322,0.83118,0.75835,0.83468,0.65719,0.76703,0.64498,1.02302,6.30846e-05,6.30846e-05,6.30846e-05
96,2561.11,0.57594,0.38356,0.92508,0.81571,0.79644,0.84202,0.65375,0.76418,0.64761,1.02274,5.40855e-05,5.40855e-05,5.40855e-05
97,2611.98,0.55956,0.36889,0.91404,0.86715,0.76396,0.84235,0.65696,0.76441,0.64836,1.01927,4.50864e-05,4.50864e-05,4.50864e-05
98,2664.14,0.55202,0.36363,0.90489,0.8632,0.7562,0.83885,0.65414,0.76556,0.65044,1.02314,3.60873e-05,3.60873e-05,3.60873e-05
99,2714.54,0.55339,0.36509,0.91134,0.89063,0.75007,0.83713,0.65537,0.7689,0.65199,1.02275,2.70882e-05,2.70882e-05,2.70882e-05
100,2764.05,0.54981,0.35818,0.91401,0.87852,0.7476,0.83886,0.65472,0.77123,0.64767,1.01926,1.80891e-05,1.80891e-05,1.80891e-05
